Publication URLs with Years:

Name: Alexander Decruyenaere
Publications:
  Year: 2012, URL: http://hdl.handle.net/1854/LU-2953463
  Year: 2012, URL: http://hdl.handle.net/1854/LU-2953470
  Year: 2012, URL: http://hdl.handle.net/1854/LU-4265215
  Year: 2012, URL: http://hdl.handle.net/1854/LU-4265244
  Year: 2012, URL: http://hdl.handle.net/1854/LU-4265220
  Year: 2012, URL: http://hdl.handle.net/1854/LU-4265236
  Year: 2011, URL: http://hdl.handle.net/1854/LU-1208607
  Year: 2011, URL: http://hdl.handle.net/1854/LU-1852639
  Year: 2011, URL: http://hdl.handle.net/1854/LU-1946689
  Year: 2011, URL: http://hdl.handle.net/1854/LU-1946668
  Year: 2011, URL: http://hdl.handle.net/1854/LU-1948138
  Year: 2011, URL: http://hdl.handle.net/1854/LU-1900603
  Year: 2011, URL: http://hdl.handle.net/1854/LU-2953455
  Year: 2010, URL: http://hdl.handle.net/1854/LU-1094521
  Year: 2010, URL: http://hdl.handle.net/1854/LU-1095619
  Year: 2010, URL: http://hdl.handle.net/1854/LU-1170921
  Year: 2010, URL: http://hdl.handle.net/1854/LU-1113308
  Year: 2007, URL: http://hdl.handle.net/1854/LU-4265250
  Year: 2007, URL: http://hdl.handle.net/1854/LU-4265253
  Year: 2006, URL: http://hdl.handle.net/1854/LU-7021138

Name: Amin Zolfaghari
Publications:
  Year: 2024, URL: http://hdl.handle.net/1854/LU-01J7K04NV9QBXAP4J37WVGJJ2A

Name: Anke Van Bladel
Publications:
  Year: 2024, URL: http://hdl.handle.net/1854/LU-01J01943GS06DXBKGYGVWSY2VG
  Year: 2024, URL: http://hdl.handle.net/1854/LU-01HP1KWDPP66SMZN4EBCY6KY9S
  Year: 2024, URL: http://hdl.handle.net/1854/LU-01HP1KNDXP3PMV8YZWJ9N7PFV7
  Year: 2024, URL: http://hdl.handle.net/1854/LU-01HTYC1ACYY71VZRNVAAKCTSET
  Year: 2024, URL: http://hdl.handle.net/1854/LU-01HCCYHPVD6X2TE91WMR6VB2YF
  Year: 2024, URL: http://hdl.handle.net/1854/LU-01HP1KT6T5RT6HN503JQNZXQJP
  Year: 2023, URL: http://hdl.handle.net/1854/LU-8748093
  Year: 2023, URL: http://hdl.handle.net/1854/LU-01GSDY5J0B07RKZTXGK5P5TJF0
  Year: 2023, URL: http://hdl.handle.net/1854/LU-01GTKJMA0BGWG2VYBXMEY455VN
  Year: 2023, URL: http://hdl.handle.net/1854/LU-01HQ05WRQ9RC84RGH0X7M6RMWW
  Year: 2023, URL: http://hdl.handle.net/1854/LU-8760080
  Year: 2023, URL: http://hdl.handle.net/1854/LU-01HH4PD3KGGWP6TB1MGE3H7NJ8
  Year: 2023, URL: http://hdl.handle.net/1854/LU-01HQ13M7CTK14JN1CQH2V6HK53
  Year: 2022, URL: http://hdl.handle.net/1854/LU-01GJXBTGYXDC7AHJT2SD88G6MX
  Year: 2022, URL: http://hdl.handle.net/1854/LU-8763104
  Year: 2022, URL: http://hdl.handle.net/1854/LU-8743929
  Year: 2021, URL: http://hdl.handle.net/1854/LU-8744084
  Year: 2021, URL: http://hdl.handle.net/1854/LU-8735731
  Year: 2021, URL: http://hdl.handle.net/1854/LU-8744086
  Year: 2020, URL: http://hdl.handle.net/1854/LU-8687643
  Year: 2019, URL: http://hdl.handle.net/1854/LU-8699444
  Year: 2019, URL: http://hdl.handle.net/1854/LU-8621943
  Year: 2019, URL: http://hdl.handle.net/1854/LU-8699442
  Year: 2019, URL: http://hdl.handle.net/1854/LU-8584349
  Year: 2018, URL: http://hdl.handle.net/1854/LU-8566779
  Year: 2018, URL: http://hdl.handle.net/1854/LU-8554547
  Year: 2018, URL: http://hdl.handle.net/1854/LU-8555285
  Year: 2017, URL: http://hdl.handle.net/1854/LU-8548587
  Year: 2017, URL: http://hdl.handle.net/1854/LU-8699440
  Year: 2016, URL: http://hdl.handle.net/1854/LU-8519232
  Year: 2016, URL: http://hdl.handle.net/1854/LU-8699426

Name: Annelien Morlion
Publications:
  Year: 2024, URL: http://hdl.handle.net/1854/LU-01J88JWW95S66WVT2F1BDV51N5
  Year: 2024, URL: http://hdl.handle.net/1854/LU-01JC0YN1JBZP7J1S72HHSZ74G5
  Year: 2024, URL: http://hdl.handle.net/1854/LU-01JC0VD4FEEAJSCGMQX58YKMQY
  Year: 2024, URL: http://hdl.handle.net/1854/LU-01HTHJTPCT8B7QZVYFWMQFMBVR
  Year: 2024, URL: http://hdl.handle.net/1854/LU-01HS8KG79YVK3EXSHNCF4VSN1S
  Year: 2023, URL: http://hdl.handle.net/1854/LU-01HNF7YNM70WR08YSTWVEX3SN5
  Year: 2023, URL: http://hdl.handle.net/1854/LU-01H86S6Z068T352RQ6VDFBR1VV
  Year: 2023, URL: http://hdl.handle.net/1854/LU-01HFKQG3Q7TA7V6RYT7WBT4P94
  Year: 2023, URL: http://hdl.handle.net/1854/LU-01HNFGN86Q47AYF1FAPYXC50HT
  Year: 2023, URL: http://hdl.handle.net/1854/LU-01GSAHN8EMKHQ6ERAQXGZMS082
  Year: 2023, URL: http://hdl.handle.net/1854/LU-01HNFE2AYXJSDV01QSCXYY9352
  Year: 2023, URL: http://hdl.handle.net/1854/LU-01GST4A17DHB0WACV21RZF6NSA
  Year: 2022, URL: http://hdl.handle.net/1854/LU-8743727
  Year: 2022, URL: http://hdl.handle.net/1854/LU-01GS7J0KB635CXHRRMVCHFA0AP
  Year: 2022, URL: http://hdl.handle.net/1854/LU-8740895
  Year: 2022, URL: http://hdl.handle.net/1854/LU-01GST31AKCA7ER66VS5PV319XM
  Year: 2022, URL: http://hdl.handle.net/1854/LU-01GST3S7ABW20EGEKVQXFS0PCT
  Year: 2022, URL: http://hdl.handle.net/1854/LU-01GKHPA0K5M1ZCKX0SZQ83DB3D
  Year: 2021, URL: http://hdl.handle.net/1854/LU-8682919
  Year: 2021, URL: http://hdl.handle.net/1854/LU-8735834
  Year: 2021, URL: http://hdl.handle.net/1854/LU-01HFKS0GHPXD6M5J9QF5P70KCK
  Year: 2021, URL: http://hdl.handle.net/1854/LU-8687425
  Year: 2021, URL: http://hdl.handle.net/1854/LU-8740894
  Year: 2021, URL: http://hdl.handle.net/1854/LU-01GTH6H43HN01KHR72T9N3BQVM
  Year: 2021, URL: http://hdl.handle.net/1854/LU-01GSAR7EG0XVCCGFATCDCVBEHJ
  Year: 2021, URL: http://hdl.handle.net/1854/LU-01GST426Y27S0QZXX89QF1889R
  Year: 2021, URL: http://hdl.handle.net/1854/LU-01GST4TX8JKZ8G4DYPJKG29QPH
  Year: 2020, URL: http://hdl.handle.net/1854/LU-8687628
  Year: 2020, URL: http://hdl.handle.net/1854/LU-8658757
  Year: 2020, URL: http://hdl.handle.net/1854/LU-8665455
  Year: 2020, URL: http://hdl.handle.net/1854/LU-01GST5KT75C22GGBHCCXVW0RAT
  Year: 2019, URL: http://hdl.handle.net/1854/LU-8634770
  Year: 2019, URL: http://hdl.handle.net/1854/LU-8634775
  Year: 2019, URL: http://hdl.handle.net/1854/LU-8634784
  Year: 2019, URL: http://hdl.handle.net/1854/LU-01GST5W0NQ8ECJTXRPGGQWWXCE

Name: Annelies Coene
Publications:
  Year: 2024, URL: http://hdl.handle.net/1854/LU-01HYWDQ1N8RZEGZEVFQ33ST16D
  Year: 2024, URL: http://hdl.handle.net/1854/LU-01HZ2H90GKAT1A0HKN0YKKRPVK
  Year: 2023, URL: http://hdl.handle.net/1854/LU-01GP3JN9SM08CHREMYZ893SBAE
  Year: 2023, URL: http://hdl.handle.net/1854/LU-8713312
  Year: 2022, URL: http://hdl.handle.net/1854/LU-8769651
  Year: 2022, URL: http://hdl.handle.net/1854/LU-01GVJ7R1AV1Z32C13TT6BB44KR
  Year: 2022, URL: http://hdl.handle.net/1854/LU-8752301
  Year: 2022, URL: http://hdl.handle.net/1854/LU-8764739
  Year: 2021, URL: http://hdl.handle.net/1854/LU-8693196
  Year: 2021, URL: http://hdl.handle.net/1854/LU-8726015
  Year: 2021, URL: http://hdl.handle.net/1854/LU-8685594
  Year: 2020, URL: http://hdl.handle.net/1854/LU-8678168
  Year: 2020, URL: http://hdl.handle.net/1854/LU-8670173
  Year: 2018, URL: http://hdl.handle.net/1854/LU-8582638
  Year: 2018, URL: http://hdl.handle.net/1854/LU-8553861
  Year: 2018, URL: http://hdl.handle.net/1854/LU-8582639
  Year: 2018, URL: http://hdl.handle.net/1854/LU-8582183
  Year: 2018, URL: http://hdl.handle.net/1854/LU-8586353
  Year: 2018, URL: http://hdl.handle.net/1854/LU-8561151
  Year: 2018, URL: http://hdl.handle.net/1854/LU-8582196
  Year: 2017, URL: http://hdl.handle.net/1854/LU-8542794
  Year: 2017, URL: http://hdl.handle.net/1854/LU-8518663
  Year: 2017, URL: http://hdl.handle.net/1854/LU-8515180
  Year: 2017, URL: http://hdl.handle.net/1854/LU-8525643
  Year: 2017, URL: http://hdl.handle.net/1854/LU-8506761
  Year: 2017, URL: http://hdl.handle.net/1854/LU-8506578
  Year: 2017, URL: http://hdl.handle.net/1854/LU-8500788
  Year: 2016, URL: http://hdl.handle.net/1854/LU-8513688
  Year: 2016, URL: http://hdl.handle.net/1854/LU-8544552
  Year: 2015, URL: http://hdl.handle.net/1854/LU-5836087
  Year: 2015, URL: http://hdl.handle.net/1854/LU-5974773
  Year: 2015, URL: http://hdl.handle.net/1854/LU-6977122
  Year: 2015, URL: http://hdl.handle.net/1854/LU-5964386
  Year: 2015, URL: http://hdl.handle.net/1854/LU-6834300
  Year: 2015, URL: http://hdl.handle.net/1854/LU-7040010
  Year: 2015, URL: http://hdl.handle.net/1854/LU-6896400
  Year: 2015, URL: http://hdl.handle.net/1854/LU-5938570
  Year: 2015, URL: http://hdl.handle.net/1854/LU-6834338
  Year: 2014, URL: http://hdl.handle.net/1854/LU-4421560
  Year: 2014, URL: http://hdl.handle.net/1854/LU-4388556
  Year: 2014, URL: http://hdl.handle.net/1854/LU-5671167
  Year: 2014, URL: http://hdl.handle.net/1854/LU-5787729
  Year: 2014, URL: http://hdl.handle.net/1854/LU-5658982
  Year: 2014, URL: http://hdl.handle.net/1854/LU-4266883
  Year: 2013, URL: http://hdl.handle.net/1854/LU-4197930
  Year: 2013, URL: http://hdl.handle.net/1854/LU-3232131
  Year: 2013, URL: http://hdl.handle.net/1854/LU-4151253
  Year: 2013, URL: http://hdl.handle.net/1854/LU-4197944
  Year: 2012, URL: http://hdl.handle.net/1854/LU-2111660
  Year: 2012, URL: http://hdl.handle.net/1854/LU-5664341
  Year: 2012, URL: http://hdl.handle.net/1854/LU-3103054

Name: Arne Bouten
Publications:
  Year: 2024, URL: http://hdl.handle.net/1854/LU-01JCFMQ3Y66MG16R0T13EE8FJA
  Year: 2024, URL: http://hdl.handle.net/1854/LU-01J807XWJTR8F5THM4H1ZKGER4
  Year: 2024, URL: http://hdl.handle.net/1854/LU-01J808C72SH98W9498KYPTZVKD
